id,img,label,text,set
75420,img/75420.png,0,"epstein was found unresponsive in his jail cell a nurse then attempted ""life- -saving procedures """,test
53046,img/53046.png,1,"you've heard of elf on a shelf, now get ready for",test
82941,img/82941.png,0,"""trump's rally lines are big his ""concentration camp"" lines are yuuuge",test
85146,img/85146.png,1,i guess pushing gay people off buildings and killing women these people that push gays off buildings. is funny to her? she is disgusting!,test
46837,img/46837.png,0,leftist logic: it's bad for russia to interfere in our elections.. ...but it's ok for illegal immigrants to vote,test
94256,img/94256.png,0,it's a wiener pit kind of like your mom,test
70269,img/70269.png,0,meanwhile at the isis strip club,test
29675,img/29675.png,1,remember behind every one of us is a police,test
96470,img/96470.png,1,this is what it's like to be gay in iran,test
69251,img/69251.png,0,when you're having an airheaded year,test
64708,img/64708.png,1,spending quality time with dad,test
76495,img/76495.png,1,"it's not a hijab it's a diaper, for peoples with shit for brains",test
40259,img/40259.png,0,masturbation it's not just for men,test
51964,img/51964.png,1,if you got your phone wet try leaving it in dry rice overnight it will attract asians who will fix your electronics for you,test
53017,img/53017.png,0,children trying to stay cool in the water,test
02571,img/02571.png,0,former first lady during an interview,test
74563,img/74563.png,1,when she finally has your own month,test
64051,img/64051.png,1,celebrating the ebt card. oh snap,test
16824,img/16824.png,0,removes polish with chemicals no one bats an eye... starts world war ii commits crimes against the polish,test
08795,img/08795.png,0,when you are white and working in oil field,test
06319,img/06319.png,1,proof you don't have to fly a plane into a building to destroy a nation!,test
74589,img/74589.png,1,"when you use ""n"" word when you word for use ""n"" filipinos",test
69582,img/69582.png,1,why can't you play uno with a mexican? because they'll steal all the green cards,test
60829,img/60829.png,0,making mashed potatoes,test
97365,img/97365.png,1,smash gender stereotypes all men are potential rapists,test
80162,img/80162.png,0,it took you 10 minutes to get home google maps says it takes 8. who is she?!,test
86159,img/86159.png,1,"suicide hotline, how may i help you today sir? i'm feeling suicidal great can you fly a plane?",test
74390,img/74390.png,1,people still don't get it zionist jews for israel are racist monsters,test
47938,img/47938.png,0,how long for the mot on the vw dave? just doing the emissions...,test
69521,img/69521.png,0,make sure the girl sitting passenger side in your car is the same girl who'd be sitting with you at the bus stop if life turned out differently,test
97023,img/97023.png,0,puts on sunblock doesn't protect from harmful rays,test
14530,img/14530.png,1,it's a proven fact marines islamic radicals are less prone to violent acts after they've been shot in the head,test
01476,img/01476.png,0,im confident in my own skin,test
35480,img/35480.png,1,got a new slow cooker,test
93728,img/93728.png,1,dirty immigrant scum,test
48706,img/48706.png,0,would you help give a push if you were ask,test
27591,img/27591.png,1,klu klux kar insurance we know it was dark and you just didn't see him,test
93186,img/93186.png,0,that's the way allah allah i like it,test
80173,img/80173.png,0,whatsthe difference between heroin and i? cops think twice before shooting heroin,test
03472,img/03472.png,1,"pet niguana for sale!! come with food dish, a few toys, and a screen lid so it can't get out $300 obo",test
69175,img/69175.png,1,when your girl thinks it's cool to yell at you in front of company,test
30128,img/30128.png,0,when your girl is crazy and she finds your side chick,test
85716,img/85716.png,1,when a retarded chick stares at you in lazy eye i'm gonna stick my dick in the mashed potatoes!,test
81603,img/81603.png,0,what's the deal with black people they're not black and they're not people,test
46301,img/46301.png,1,if black people aren't lazy then why doesn't kfc have a breakfast menu,test
02854,img/02854.png,1,do gay midgets come out of the cabinet?,test
12936,img/12936.png,1,i'm sure glad i dodged that bullet fuck white women asians are cute and tight asf i should know i watch anime and hentai,test
34652,img/34652.png,1,if you're gonna go boating make sure you have the proper flotation devices,test
74190,img/74190.png,0,football season is once again upon us my brothahs can i get an amen?!,test
26940,img/26940.png,0,"""if a dishwasher wore pants, would it wear them like this or like this""",test
10283,img/10283.png,1,"well, it was tough getting this community up to standards but were alwhite now shadowy place over there? but what's that dont talk black to me you little n ewborn african",test
56248,img/56248.png,1,fuck you muhammed is a pig fucker!,test
25017,img/25017.png,0,sorry i'm late. having tranny problems,test
28957,img/28957.png,1,when each letter is a mental disorder,test
29401,img/29401.png,0,i came out of your what!?,test
23901,img/23901.png,0,went to wal-mart and had a bit of fun,test
89372,img/89372.png,0,2 more sleeps until hunbashing,test
30597,img/30597.png,1,hey muslims eat me!,test
50413,img/50413.png,0,i was going to paint my bathroom door but my girlfriend was dead against it,test
80932,img/80932.png,0,a picture to remember our fun night out,test
26795,img/26795.png,0,i put brake fluid in my meth... now i can stop whenever i want,test
13857,img/13857.png,0,this is why we shoot you guys,test
06153,img/06153.png,0,i had a bad dream about the ku klux klan,test
48263,img/48263.png,1,marokko speed dating,test
38095,img/38095.png,0,haters will say it's photoshop,test
13049,img/13049.png,0,when he brings home his first girlfriend,test
57298,img/57298.png,0,when was the last time you saw so many passionate people on the street?,test
26735,img/26735.png,1,"you pick cotton to get to it because it's white, it works, and why don't black people like aspirin?",test
46829,img/46829.png,0,what is the difference between old milwaukee and a clitoris a clitoris only tastes like piss for a second,test
46058,img/46058.png,0,when you beat up a black kid and get arrested for propriety damage,test
17248,img/17248.png,0,what we do in our bedroom is none of your business which is why we have parades that block traffic and force you to see examples of what we do in our bedroom,test
83765,img/83765.png,0,so....i guess you can't give me an old fashioned... ....how bout a bj?,test
35729,img/35729.png,1,looking for attention? join us,test
69807,img/69807.png,1,"what is the most offensive joke you have ever written? if only africa had more mosquito nets, less mosquitos would have to die needlessly of aids",test
60973,img/60973.png,0,"""the squad... hasn't done squat"" in congress",test
75286,img/75286.png,1,look at this sandwich maker club i found on wish on clearance,test
30286,img/30286.png,0,had to get wisdom teeth removed i guess you shouldn't have been such a smart mouth,test
37498,img/37498.png,0,cocaine evilheart so much cocaine i fucking told you!,test
03718,img/03718.png,0,baaaa-utiful,test
49728,img/49728.png,1,when a retarded kid tries touching you,test
02158,img/02158.png,1,i like my women like i like my chickens held in captivity until i behead them,test
58029,img/58029.png,0,i don't always roll a joint but when i do it's my ankle,test
58674,img/58674.png,0,when cops see an unarmed black youth:,test
58417,img/58417.png,0,all complete no missing parts,test
09324,img/09324.png,0,what would i do if she got pregnant,test
48517,img/48517.png,0,how a woman tells society she is single,test
42685,img/42685.png,0,white kids dreaming about their first day of school,test
64532,img/64532.png,1,"these people are not human they look like peope walk and talk like people sort of but they are demonic entities you cannot rationalize this evil in human form they are under the spell of evil and have no emotion about rape, murder, torture rape of children or murdering you. your life means nothing to them get it?? nothing",test
69237,img/69237.png,0,temptations,test
75438,img/75438.png,0,"over 5,000 years of eating bread and in less than a decade everyone is allergic to gluten",test
65183,img/65183.png,0,poor children of every color picked cotton open a book and gain some knowledge,test
07134,img/07134.png,0,sexbomb sexbomb you are my sexbomb,test
80316,img/80316.png,1,it's time for the entire free world to unite against islam because the savages are already united against us,test
23841,img/23841.png,0,"""the squad?"" more like ""the gang of four!""",test
80165,img/80165.png,0,look! johnny knoxville! it's ba'am!,test
09387,img/09387.png,1,now at home depot check out the new kenyan fly strip,test
39058,img/39058.png,1,i like my niggers like i like my christmas ornaments hanging from my tree,test
91367,img/91367.png,1,"are all terrorists muslim? no, some are democrats",test
69024,img/69024.png,0,is my smile creeping you out? you need to tell me if my smile is creeping you out,test
97481,img/97481.png,0,"not a creature was stirring, not even a mouse... cause i ate him",test
54018,img/54018.png,0,"old people at weddings always poke me and say ""you're next."" so, i started doing the same thing to them at funerals",test
16723,img/16723.png,1,nazi fitness camp before after body transformation within hours,test
84317,img/84317.png,0,when you're broke af but still gotta buy christmas gifts,test
43015,img/43015.png,0,farm equipment and livestock don't mix,test
75192,img/75192.png,0,we were known as hebrew israelites until slavery,test
26418,img/26418.png,0,4 years for your bachelors? i worked 60 years for my masters,test
17305,img/17305.png,0,i've told my neighbor to keep thier pug out of my yard 3 times already,test
31025,img/31025.png,0,i refuse to debate gun control with folks who eat soap and are confused on which pisser to use,test
08637,img/08637.png,1,islam: how many more are we going to have to murder... ...before the world realizes that we are the religion of peace?,test
75321,img/75321.png,1,cannibal tribe from indonesia will take muslim refugess in any amount,test
58631,img/58631.png,1,the same people that hate trump think this is a woman,test
93082,img/93082.png,0,who the fuck is that person?,test
13695,img/13695.png,1,when you let your ethiopian child sexslave swallow your cum i am a generous god,test
17453,img/17453.png,1,"you send us to the middle east to fight, suffer & die; then, turn & invite these scumbags into usa what kind of stupid are you?",test
89063,img/89063.png,0,you boys every played hot potato,test
64701,img/64701.png,0,"well judge, made me do it all remember it was me who first said was kenyan",test
67318,img/67318.png,0,asked for romantic sex sticks a lit candle up my ass,test
08621,img/08621.png,0,"thats fucked up, but i like it",test
09527,img/09527.png,1,listen up cupcake we are losing our country to goat humpers!,test
81207,img/81207.png,0,years ago slaves would be used for farming,test
47531,img/47531.png,0,yes i have changed i realized i was fucking up and changes had to be made,test
83175,img/83175.png,1,when you catch your goat with another man,test
72864,img/72864.png,1,traveling through chimney,test
05798,img/05798.png,0,when they become besties over the same dude,test
60213,img/60213.png,1,then he said i couldn't come to the barbecue because i always burn the franks,test
14238,img/14238.png,0,most religions are religions of peace,test
12504,img/12504.png,1,it says right here we can bang goats,test
32915,img/32915.png,0,when you haven't stolen anything in a week,test
01483,img/01483.png,0,"feeling bored, let's go to a mosque",test
48605,img/48605.png,0,should we tell them? or just let them figure it out for themselves?,test
37298,img/37298.png,1,"muslim ""logic"": pork is unclean. but... drink camel urine, since it is ""medicine"" according to mohammed., ""who was perfect""",test
75839,img/75839.png,0,friendship is for everyone,test
43798,img/43798.png,0,when instagram notifies you that someone is going live the fuck that gotta do with me,test
91385,img/91385.png,0,you can tell the gender of an ant by throwing it in water if it sinks= girl ant...if it floats= buoyant,test
17582,img/17582.png,0,"""we should make it harder for criminals to get guns..."" ""...if even to prevent one tragedy"" but let's not make it harder for perverts to use the ladies room... ...if even to prevent rape? one",test
80742,img/80742.png,1,brett kavanaugh grabbed my penis,test
15029,img/15029.png,1,they probably arguing over some little shit,test
63580,img/63580.png,0,great at making martinis terrible at stealing tambourines,test
52394,img/52394.png,0,i forgot what are we fighting over again?,test
16532,img/16532.png,0,when all the younglings are cornered in a room this is when the fun begins,test
17528,img/17528.png,1,blame other countries for having no culture rape women everyday,test
14082,img/14082.png,1,face down. ass up. that's the way we like allah,test
57469,img/57469.png,0,when she throws on your sweater while you're at her house,test
47015,img/47015.png,1,"complains about islamaphobia hates jews, christians, atheists, gays, your culture, your traditions, your country and you",test
30257,img/30257.png,0,family trip in mexico,test
27480,img/27480.png,0,"the face you make when you don't understand what ""stop resisting"" means",test
80613,img/80613.png,0,celebrating the weekend like,test
06795,img/06795.png,1,that look when you find out your husband isn't coming home from the mosque,test
35091,img/35091.png,0,with black power comes no responsibility,test
63814,img/63814.png,0,when you're at your batchelor party and you realize that all the money in the stripper's g-string has your grandma's picture on it,test
26185,img/26185.png,0,when the cops ask to look in your niqab but they legally can't,test
61732,img/61732.png,0,british judges wear wigs to avoid from being identified by criminals,test
65741,img/65741.png,1,where's jaws when you need him ?,test
38624,img/38624.png,1,not my president not my residents,test
06728,img/06728.png,0,the only kkk to ever let black men in,test
79603,img/79603.png,1,its friday cunts lets get on the gas,test
76534,img/76534.png,1,saddle up boys!!! time too play cowboys,test
68943,img/68943.png,0,i'm not racist drug dealer is black,test
68973,img/68973.png,1,and that was the last nativity play my son was invited to take part in,test
79103,img/79103.png,1,"racism exists among all races in the world.. white people are just better at it, like most things",test
45318,img/45318.png,0,when your kitten can't find a box,test
29476,img/29476.png,1,"""america has stolen the jews the jews of god his jewelry the negroes they are the true hebrews"" google it",test
72356,img/72356.png,0,bomb disarmament is a hell of a job. thank you for service,test
61485,img/61485.png,0,"don't do the crime, if you can't do the time",test
93618,img/93618.png,0,a mothers love is like no other,test
92157,img/92157.png,0,when you are that ugly you don't have a choice,test
78563,img/78563.png,0,yes we know trump said he'd build a wall. presidents say a lot of things without acting on them. just to get your vote,test
80593,img/80593.png,0,this is bill bill supplies his guests with beverages bill makes sure they have a place to sleep bill is a gracious host be like bill,test
91075,img/91075.png,1,when you stop burning jews and start burning calories,test
69018,img/69018.png,0,when you slap your dishwasher too hard,test
39145,img/39145.png,0,when you find out there's an opening for the role of chewbacca,test
93086,img/93086.png,1,sweden 2050 the muslim and african hordes execute the last real swede,test
97824,img/97824.png,0,if you wanna report something report deez nuts!!!,test
17659,img/17659.png,0,ex girfriends be like.. i don't even care what he does anymore!!!,test
07698,img/07698.png,0,"go ahead, call the cops see who cums first",test
45198,img/45198.png,0,usa 2030 why didn't grand dad stop them mom?,test
19074,img/19074.png,1,"we'ree just here to blow you stupid british people e up, letting us in your country",test
19670,img/19670.png,0,when ur too young to know racism but ur happy cause u got a new pet,test
89302,img/89302.png,1,damn son where'd you find this its ok baby im vice lord you do know know im a tranny right,test
71480,img/71480.png,0,i may be blind but at least i'm not black,test
58304,img/58304.png,0,you took us to the wrong mountain bro,test
50129,img/50129.png,0,partial arts,test
34076,img/34076.png,0,i'm taking my clock to school,test
47598,img/47598.png,0,"actually retard, the muslims aren't the problem the problem is that pussies are stopping us from killing the muslims",test
65124,img/65124.png,0,"hmmm... who shall i arrest first brennan, clapper, comey or obama? hillary first!!",test
74025,img/74025.png,0,"kills: 17 million , deaths: 1 fucking camper",test
38914,img/38914.png,0,cotton candy is what makes the theme park wonderful,test
14769,img/14769.png,0,god loves all of his children,test
72945,img/72945.png,1,open up for the enrichment,test
58642,img/58642.png,0,black men! think! killing each other is like killing soldiers in your own army,test
13076,img/13076.png,1,when fat white girls sit on the toilet,test
67438,img/67438.png,1,white parent black parent,test
71682,img/71682.png,0,53% of white women voted for trump 53% of white women should look like this,test
32415,img/32415.png,0,when finishing a race is your passion,test
42853,img/42853.png,1,when you get kicked out the library for putting women's rights books in the fiction section i'm right,test
94563,img/94563.png,0,trump's transgender military ban is the best thing ever share if you agree,test
02793,img/02793.png,0,sea monkeys,test
95401,img/95401.png,0,meanwhile at the isis strip club,test
94237,img/94237.png,1,how do you know if a black guy is well hung? you can't fit your finger between the rope and it's neck!!,test
37502,img/37502.png,0,starts nazi party ... and wages war on other cultures,test
76814,img/76814.png,0,make the best out of what you have,test
32568,img/32568.png,1,america taught us how to be happy slaves the same way school teach us how to be happy employees,test
51349,img/51349.png,0,the demonstration of beauty and demonstration of ugly,test
87594,img/87594.png,0,"what do i have in common with cow pies? the older we get, the easier for you to pick us up!",test
58014,img/58014.png,0,hate should be abolished from every neighborhood and removed from every country,test
23570,img/23570.png,0,"no means no, unless she's dyslexic then it's on",test
02716,img/02716.png,0,"felt cute might pray later, idk",test
50236,img/50236.png,0,goat fucker's only .com,test
39201,img/39201.png,0,"enough with the nazi jokes, they're making me fuherious",test
46270,img/46270.png,1,gets mad about film portraying muslims as murderous savages responds by being a murdering savage,test
32485,img/32485.png,0,when you floor it but your passengers arent ready,test
52761,img/52761.png,0,"attention ladies: it's football season!!! bring him a sammich, get him a beer, get a hobby & stfu til valentine's day!",test
69234,img/69234.png,0,do i need to dig up hitler to show you how to use an oven,test
05726,img/05726.png,0,a stork might bring you a baby but a swallow never will,test
40286,img/40286.png,0,when each letter is a mental disorder,test
28731,img/28731.png,1,how africans eat their food mmmm....... delicious,test
56972,img/56972.png,0,so i prayed over him like this and i made sure he felt the lord inside him,test
51694,img/51694.png,1,how do we destroy the patriarchy? it's simple. we eat it,test
70452,img/70452.png,0,you just went full goat fucker never go full goat fucker,test
10952,img/10952.png,0,i agree hi 5 bro,test
36254,img/36254.png,0,my culture has great food !,test
17294,img/17294.png,0,see? i fuckin told you! a little foil on top keeps them juicy,test
31876,img/31876.png,1,got a new slow cooker today,test
61725,img/61725.png,1,transgender female athlete biological female,test
80521,img/80521.png,0,him: the dishwasher is acting weird her: what's it doing? him: chopping fucking vegetables,test
43791,img/43791.png,1,"""when the gunman realizes that nobody else is armed, he will lay down his weapons and turn himself in. that's just human nature."" that woman just went full retard!",test
56143,img/56143.png,0,"ugly mafuckas be like... bru, i know she want me i got dreads",test
02168,img/02168.png,0,how many fucking accounts do you assholes have?,test
76815,img/76815.png,0,this chick can't stand fishing,test
17682,img/17682.png,1,give them what they deserve kill them all,test
34961,img/34961.png,0,this cat is pushing a watermelon out of a lake. your argument is invalid,test
54270,img/54270.png,1,shit... the dishwasher is broken again!,test
51846,img/51846.png,0,doesn't wear tampons because she trips over the string,test
92041,img/92041.png,1,"sign says ""take a quarter""  takes two",test
06725,img/06725.png,0,"open's inbox ""let me suck your dick"" opens profile: it's your crazy ex gf",test
64910,img/64910.png,0,"the government i can offer you security, i require only that you kneel conservatives now see, that's gonna be a problem",test
51472,img/51472.png,0,i hit a deer last night with my truck,test
10948,img/10948.png,1,what are you doing ? nothing babe just women stuff you crashed the car again?,test
28043,img/28043.png,0,i don't play,test
92368,img/92368.png,0,american soldiers praying in jesus name that they don't have to go overseas for the holidays,test
06582,img/06582.png,1,they are terrorists anyone who doesn't agree is an idiot,test
48623,img/48623.png,1,what is the difference between a hockey player and a feminist? a hockey player will shower after three periods,test
91462,img/91462.png,1,it is easier to pick fights with black women than to challenge white men,test
79830,img/79830.png,1,"""jet fuel"" ""arabs with boxcutters """,test
16857,img/16857.png,0,some people are like old tvs they need to be slapped a few times to get the fucking picture,test
60374,img/60374.png,0,"i don' t always wag my tail, but when i do i try to hit everything i can with it",test
19824,img/19824.png,0,rice krispies are the bomb,test
38190,img/38190.png,0,i forgot to put it out on time now it is sitting there for whole day,test
13609,img/13609.png,0,when your 8 year old wife isn't home but your goat is improvise. adapt. overcome,test
80649,img/80649.png,0,"having a terrible day please post your most offensive joke in the comments i feel like sulking, but also laughing",test
62178,img/62178.png,1,"the best part about fucking a chemo patient... you don't have to pull out. even if she survives, the baby won't",test
93401,img/93401.png,0,look dad im doing it you did it tyrone!,test
30256,img/30256.png,1,shame on these gays! and shame on muslims marrying children. said the christian molesting little boys,test
42167,img/42167.png,0,"trump supporters if they were any more inbred, they'd be sandwiches!",test
67328,img/67328.png,0,happy president's day mr. president!,test
25168,img/25168.png,0,im wilford brimley and i have diabetes,test
18490,img/18490.png,0,the rosenbergs were executed 1953 for selling nuclear secrets to russia the clintons actually sold nuclear material for development of weaponsto russia,test
63594,img/63594.png,0,new dishwasher came in today missing a few parts though .,test
03927,img/03927.png,1,after group sex mohammed is very tired,test
40293,img/40293.png,1,"i don't see ""color"" or ""race"" because i make sure to surround myself only with white people",test
76321,img/76321.png,0,in my country i am forced to keep my mouth shut. here i'm free to talk trash about this country in hopes it changes into a country where i'm forced to keep my mouth shut,test
62108,img/62108.png,0,you used so much thyme the doctor showed up to fix the paradoxes you created,test
68137,img/68137.png,0,that friday vibe be like,test
62047,img/62047.png,0,"don't be embrassed mark lots of guys yell ""harder daddy"" during a rectal exam",test
25416,img/25416.png,0,i haven't been this excited about a friday since last friday,test
92817,img/92817.png,1,every muslim is allowed to have sex with his female slave.if he does not have female slave and wife is not at home his lust with sheep or then he must release goat- dr.zakir naik,test
04658,img/04658.png,0,"so, you think by being a a muslim sympathizer, this will somehow keep us from killing you ? you are a special kind of stupid",test
79286,img/79286.png,0,been talking shit about trump since day one. now crying like bitches after getting called out,test
82539,img/82539.png,1,muslims in 2001 defund homeland security! muslim in congress 2019,test
76328,img/76328.png,0,broken dishwasher for sale or rent,test
74315,img/74315.png,1,48 year old white women when they see an actually good meme how can you read this? there's no minions,test
43206,img/43206.png,1,mexicans are rapist i'm lovin' it happy hump day bitch,test
29513,img/29513.png,1,you dirty fucking nigger,test
56187,img/56187.png,0,how much did the holla cost?,test
92058,img/92058.png,1,how black people became christians,test
50471,img/50471.png,1,"spanish word of the day ""texas"" my fren always texas me when i'm not home wondering where i'm at!",test
58326,img/58326.png,0,everyone is excited for the baby to come,test
32409,img/32409.png,0,and just like that democrats hate mueller more than trump,test
10936,img/10936.png,1,77 years after pearl harbor and it still hurts but just 17 years after 9/11 and we want to move them here and adopt their laws in american cities,test
40726,img/40726.png,0,"why didn't the ""if you don't like it, you can leave"" people leave when obama was president?",test
19372,img/19372.png,1,if you say these muslim protesters are violent.. they will kill you!!,test
34165,img/34165.png,0,be happy you dont have neanderthal dna,test
67254,img/67254.png,0,xzhibit wearing new jewery,test
37254,img/37254.png,0,who knew that this country is full of white trash,test
53249,img/53249.png,0,the enemy has infiltrated congress the enemy within ilhan omar linda sarsour rashida tlaib ocasto-cortez,test
56219,img/56219.png,0,them: how would you rate this pupper? me: golden,test
86354,img/86354.png,0,officer down,test
32174,img/32174.png,0,jewber: uber for jews,test
52316,img/52316.png,1,the face i make when the media calls bruce jenner catlyn jenner,test
38910,img/38910.png,1,oh boy i sure love being muslim in the new zealand city of christchurch on march 15,test
36049,img/36049.png,0,knowing white people he's probably the father,test
36452,img/36452.png,0,"what did you hear on the wiretap, barry? he said he really is going to make america great again",test
42871,img/42871.png,1,immigrant problem problem fixed,test
26085,img/26085.png,0,when i say i gotta go to the bathroom,test
26149,img/26149.png,0,one day christians will have to live like this to avoid the mark of the beast are you prepared?,test
20715,img/20715.png,0,enriching the mind and body while also enriching our hearts,test
95038,img/95038.png,0,when you take these pics we think about cumming in your mouth,test
06482,img/06482.png,1,i dont always make sandwiches because im not a woman,test
04759,img/04759.png,0,im ready to have some fun,test
10725,img/10725.png,0,man rejoices over harvest,test
36945,img/36945.png,0,transgender satan is not amused,test
93841,img/93841.png,1,"you need to quit messing with those white devils, brotha!!",test
93072,img/93072.png,1,"black people black people ""why would white america do this?""",test
89732,img/89732.png,1,reminder: every refugee we let in and give social housing to means one extra homeless new zealander,test
89437,img/89437.png,1,an expensive gas bill? i did nazi that coming,test
54310,img/54310.png,0,celebrating the ebt card..oh snap,test
97831,img/97831.png,1,i just hired a gorgeous blond swede with big tits and long legs as babysitter anyone know where i can find a baby like real quick?,test
40158,img/40158.png,0,"crisis hotline, how can i help? well...i'm feeling suicidal... ok, so what's the crisis?",test
97258,img/97258.png,0,"hi, i'm nate i'm a lesbian in recovery",test
29163,img/29163.png,1,what kind of punch can take out 20 kids and 6 adults? a sandy hook,test
08632,img/08632.png,1,"""why do you have to punch a hole in the wall when you get upset?"" white guys: it defines who i am",test
17965,img/17965.png,0,changing every single country it touches,test
50163,img/50163.png,0,this muslim guy is walking his goats,test
09267,img/09267.png,1,support the temple motherfuckers i'm here to claim the rights of husband you never give your wife away join the fucking government i hate all freemasons and christians,test
48927,img/48927.png,0,the older i get the more i look at people like this,test
19326,img/19326.png,0,"rep. omar, somali refugee, claims life in usa is an ""everyday assault"" is she right or out of her mind",test
23761,img/23761.png,0,this lady is not amused,test
74019,img/74019.png,0,enjoying new loungewear when it's chilly outside,test
24376,img/24376.png,0,have you ever talked to someone so stupid that it gives you a forest whitaker eye,test
04175,img/04175.png,1,im not racist because racism is a crime and crime is for black people,test
50361,img/50361.png,0,they call me a goat because i am the greatest of all time,test
